episode,reward_obtained
0,-161
1,-111
2,-177
3,-107
4,-103
5,-183
6,-367
7,-100
8,-600
9,-118
10,-1462
11,-103
12,-115
13,-1035
14,-317
15,-227
16,-605
17,-465
18,-169
19,-162
20,-109
21,-110
22,-179
23,-187
24,-101
25,-980
26,-621
27,-545
28,-173
29,-400
30,-669
31,-101
32,-414
33,-414
34,-273
35,-367
36,-106
37,-273
38,-315
39,-188
40,-629
41,-361
42,-173
43,-107
44,-73
45,-101
46,-120
47,-51
48,-180
49,-102
50,-120
51,-217
52,-150
53,-151
54,-144
55,-178
56,-100
57,-117
58,-143
59,-106
60,-111
61,-104
62,-198
63,-85
64,-115
65,-247
66,-110
67,-263
68,-77
69,-100
70,-144
71,-121
72,-101
73,-117
74,-101
75,-128
76,-114
77,-116
78,-190
79,-212
80,-142
81,-124
82,-100
83,-148
84,-137
85,-72
86,-168
87,-169
88,-130
89,-219
90,-127
91,-165
92,-102
93,-117
94,-134
95,-138
96,-122
97,-181
98,-164
99,-224
100,-176
101,-109
102,-137
103,-120
104,-164
105,-101
106,-178
107,-180
108,-211
109,-169
110,-185
111,-235
112,-128
113,-163
114,-167
115,-194
116,-142
117,-167
118,-171
119,-166
120,-103
121,-109
122,-168
123,-182
124,-65
125,-104
126,-40
127,-162
128,-29
129,-294
130,-100
131,-180
132,-69
133,-240
134,-316
135,-142
136,-163
137,-52
138,-117
139,-125
140,-134
141,-98
142,-120
143,-86
144,-100
145,-94
146,-106
147,-207
148,-77
149,-42
150,-43
151,-93
152,-169
153,-173
154,-54
155,-154
156,-156
157,-148
158,-201
159,-186
160,-136
161,-102
162,-195
163,-109
164,-83
165,-78
166,-143
167,-191
168,-304
169,-100
170,-130
171,-142
172,-173
173,-134
174,-249
175,-120
176,-208
177,-132
178,-119
179,-100
180,-453
181,-227
182,-119
183,-104
184,-246
185,-54
186,-118
187,-102
188,-187
189,-104
190,-180
191,-113
192,-103
193,-114
194,-471
195,-202
196,-321
197,-767
198,-547
199,-413
200,-138
201,-733
202,-987
203,-311
204,-260
205,-457
206,-110
207,-294
208,-188
209,-111
210,-300
211,-214
212,-109
213,-287
214,-132
