episode,reward_obtained
0,-136
1,-114
2,-286
3,-224
4,-325
5,-133
6,-340
7,-126
8,-131
9,-210
10,-149
11,-297
12,-208
13,-123
14,-360
15,-176
16,-261
17,-563
18,-287
19,-402
20,-110
21,-179
22,-113
23,-131
24,-238
25,-278
26,-159
27,-187
28,-112
29,-207
30,-277
31,-132
32,-145
33,-124
34,-422
35,-265
36,-175
37,-236
38,-114
39,-274
40,-328
41,-269
42,-338
43,-129
44,-233
45,-156
46,-192
47,-361
48,-2915
49,-2227
50,-931
51,-2626
52,-285
53,-316
54,-621
55,-161
56,-337
57,-101
58,-816
59,-483
60,-228
61,-220
62,-429
63,-696
64,-263
65,-162
66,-140
67,-605
68,-257
69,-300
70,-1294
71,-911
72,-403
73,-835
74,-193
75,-268
76,-164
77,-216
78,-148
79,-268
80,-148
81,-357
82,-236
83,-564
84,-153
85,-212
86,-880
87,-135
88,-2819
89,-458
90,-145
91,-171
92,-163
93,-859
94,-160
95,-551
96,-123
97,-398
98,-531
99,-444
100,-487
101,-232
102,-138
103,-235
104,-571
105,-245
106,-1239
107,-234
108,-157
109,-268
110,-163
111,-108
112,-177
113,-195
114,-187
115,-212
116,-89
117,-244
118,-224
119,-445
120,-181
121,-354
122,-1037
123,-233
124,-331
125,-221
126,-343
127,-223
128,-248
129,-174
130,-443
131,-370
132,-118
133,-261
134,-77
135,-147
136,-105
137,-151
138,-279
139,-46
140,-192
141,-308
142,-102
143,-254
144,-168
145,-136
146,-181
147,-500
148,-574
149,-136
150,-103
151,-978
152,-154
153,-1006
154,-893
155,-313
156,-644
157,-142
158,-962
159,-458
160,-653
161,-513
162,-278
163,-182
164,-82
165,-375
166,-350
167,-104
168,-158
169,-281
170,-184
171,-493
172,-145
173,-113
174,-138
175,-104
176,-564
177,-565
178,-173
179,-216
180,-312
181,-318
182,-150
183,-171
184,-282
185,-746
186,-134
187,-382
188,-471
189,-103
190,-506
191,-276
192,-840
193,-593
194,-102
195,-119
196,-59
197,-700
198,-239
199,-288
200,-199
201,-588
202,-682
203,-503
204,-211
205,-1004
206,-171
207,-771
208,-151
209,-108
210,-781
211,-260
212,-658
213,-1226
214,-193
215,-132
216,-169
217,-110
218,-114
219,-175
220,-223
221,-116
222,-102
223,-356
224,-101
225,-112
226,-197
227,-164
228,-187
229,-171
230,-141
231,-52
232,-162
233,-311
234,-212
235,-138
236,-123
237,-144
238,-112
239,-250
240,-134
241,-321
242,-35
243,-269
244,-203
245,-110
246,-264
247,-64
248,-101
249,-126
250,-229
251,-85
252,-173
253,-110
254,-115
255,-132
256,-155
257,-237
258,-256
259,-182
260,-68
261,-183
262,-195
263,-102
264,-209
265,-101
266,-128
267,-131
268,-127
269,-53
270,-123
271,-162
272,-194
273,-174
274,-126
275,-145
276,-125
277,-119
278,-199
279,-161
280,-174
281,-137
282,-136
283,-104
284,-265
285,-202
286,-116
287,-93
288,-120
289,-189
290,-87
291,-201
292,-89
293,-62
294,-128
295,-159
296,-100
297,-61
298,-101
299,-139
300,-139
301,-128
302,-156
303,-127
304,-114
305,-168
306,-217
307,-21
308,-139
309,-145
310,-206
311,-102
312,-160
313,-151
314,-62
315,-186
316,-98
317,-130
318,-102
319,-159
320,-141
321,-75
322,-133
323,-134
324,-91
325,-142
326,-59
327,-170
328,-72
329,-31
330,-128
331,-124
332,-196
333,-77
334,-120
335,-100
336,-93
337,-155
338,-147
339,-199
340,-120
341,-172
342,-33
343,-91
344,-183
345,-89
346,-49
347,-82
348,-137
349,-115
350,-36
351,-54
352,-133
353,-87
354,-35
355,-158
356,-196
357,-104
358,-49
359,-80
360,-180
361,-137
362,-64
363,-94
364,-160
365,-75
366,-55
367,-73
368,-121
369,-139
370,-90
371,-87
372,-124
373,-61
374,-88
375,-45
376,-123
377,-67
378,-86
379,-41
380,-141
381,-29
382,-104
383,-169
384,-110
385,-126
386,-83
387,-103
388,-79
389,-131
390,-88
391,-168
392,-110
393,-87
394,-135
395,-107
396,-100
397,-76
398,-97
399,-46
400,-69
401,-200
402,-51
403,-41
404,-158
405,-71
406,-56
407,-69
408,-97
409,-63
410,-56
411,-62
412,-157
413,-41
414,-83
415,-79
416,-85
417,-59
418,-118
419,-89
420,-62
421,-39
422,-98
423,-77
424,-41
425,-84
426,-59
427,-84
428,-100
429,-74
430,-31
431,-114
432,-61
433,-102
434,-93
435,-65
436,-126
437,-35
