episode,reward_obtained
0,-463
1,-124
2,-267
3,-507
4,-144
5,-936
6,-1028
7,-115
8,-254
9,-288
10,-252
11,-285
12,-239
13,-512
14,-155
15,-124
16,-109
17,-145
18,-100
19,-168
20,-394
21,-577
22,-459
23,-512
24,-263
25,-903
26,-1792
27,-186
28,-1028
29,-896
30,-438
31,-100
32,-101
33,-100
34,-440
35,-269
36,-147
37,-266
38,-155
39,-583
40,-1086
41,-349
42,-294
43,-145
44,-385
45,-504
46,-512
47,-251
48,-600
49,-100
50,-404
51,-888
52,-105
53,-100
54,-157
55,-468
56,-108
57,-198
58,-583
59,-257
60,-828
61,-110
62,-102
63,-159
64,-501
65,-880
66,-106
67,-656
68,-124
69,-436
70,-1296
71,-118
72,-778
73,-328
74,-284
75,-724
76,-209
77,-1481
78,-232
79,-127
80,-168
81,-142
82,-113
83,-157
84,-106
85,-1203
86,-939
87,-107
88,-107
89,-240
90,-115
91,-366
92,-307
93,-382
94,-367
95,-104
96,-308
97,-242
98,-201
99,-553
100,-153
101,-102
102,-695
103,-737
104,-103
105,-246
106,-325
107,-253
108,-192
109,-482
110,-205
111,-91
112,-370
113,-216
114,-283
115,-236
116,-136
117,-181
118,-119
119,-122
120,-194
121,-100
122,-73
123,-132
124,-296
125,-113
126,-216
127,-151
128,-222
129,-358
130,-104
131,-156
132,-104
133,-174
134,-421
135,-319
136,-127
137,-285
138,-241
139,-102
140,-374
141,-735
142,-334
143,-126
144,-145
145,-329
146,-230
147,-163
148,-128
149,-156
150,-138
151,-253
152,-70
153,-137
154,-130
155,-132
156,-123
157,-263
158,-100
159,-160
160,-102
161,-119
162,-82
163,-243
164,-317
165,-118
166,-59
167,-87
168,-145
169,-136
170,-195
171,-100
172,-115
173,-106
174,-61
175,-351
176,-220
177,-188
178,-108
179,-235
180,-75
181,-90
182,-194
183,-146
184,-220
185,-102
186,-167
187,-175
188,-135
189,-90
190,-255
191,-199
192,-90
193,-96
194,-128
195,-178
196,-49
197,-58
198,-116
199,-184
200,-100
201,-109
202,-108
203,-95
204,-96
205,-102
206,-140
207,-225
208,-57
209,-191
210,-101
211,-115
212,-176
213,-113
214,-72
215,-131
216,-244
217,-118
218,-190
219,-82
220,-216
221,-112
222,-109
223,-115
224,-115
225,-110
226,-105
227,-105
228,-240
229,-147
230,-205
231,-188
232,-134
233,-135
234,-85
235,-102
236,-135
237,-109
238,-302
239,-49
240,-158
241,-133
242,-53
243,-116
244,-190
245,-100
246,-103
247,-237
248,-95
249,-408
250,-238
251,-105
252,-205
253,-121
254,-89
255,-228
256,-81
257,-218
258,-153
259,-401
260,-198
261,-108
262,-167
263,-100
264,-321
265,-89
266,-252
267,-116
268,-195
269,-186
270,-114
271,-111
272,-101
273,-138
274,-121
275,-102
276,-284
277,-151
278,-159
279,-212
280,-134
281,-302
282,-116
283,-438
284,-162
285,-122
286,-168
287,-112
288,-277
289,-117
290,-95
291,-111
292,-115
293,-124
294,-99
295,-154
296,-170
297,-124
298,-104
299,-289
300,-94
301,-84
302,-54
303,-208
304,-141
305,-169
306,-93
307,-119
308,-78
309,-312
310,-110
311,-144
312,-144
313,-101
314,-224
315,-144
316,-142
317,-78
318,-207
319,-180
320,-104
321,-102
322,-128
323,-90
324,-89
325,-160
326,-103
327,-170
328,-147
329,-208
330,-57
331,-118
332,-254
