episode,reward_obtained
0,-161.077
1,-87.4016
2,-19.1201
3,-14.6
4,-18.2001
5,-4.28
6,-83.2015
7,-289.348
8,-145.519
9,-49.3208
10,-11.76
11,-36.1605
12,-19.9601
13,-57.401
14,-51.4408
15,-18.9201
16,-17.56
17,-11.48
18,-23.5202
19,-13.76
20,-6.63999
21,-15.08
22,-25.2402
23,-4.2
24,-45.9607
25,-6.95999
26,-2.72
27,-1.36
28,-5.32
29,-6.31999
30,-3.28
31,-15.76
32,-11.44
33,-5.16
34,0.36
35,-7.35999
36,-3
37,0.44
38,-8.99999
39,0.36
40,-14.6
41,-0.44
42,-13.84
43,-2
44,-12.36
45,-35.7605
46,-9.27999
47,-5.16
48,-6.55999
49,-17.2
50,-13.2
51,-4.48
52,-2.64
53,-5.4
54,-4.92
55,-5.64
56,-3.92
57,-14.24
58,0.12
59,-3.84
60,-2.6
61,-1.4
62,-16.36
63,-1.8
64,-1.8
65,-10.64
66,-16.52
67,-0.0400001
68,-2.4
69,-0.64
70,-0.679999
71,-31.8404
72,0.4
73,-3.88
74,-0.879999
75,-1.28
76,-2.08
77,-6.11999
78,-0.879999
79,-0.52
80,-5.56
81,-2.4
82,-2
83,-1.52
84,-2.76
85,-1.68
86,-3.44
87,-3.08
88,-2
89,-3.4
90,-2.6
91,-4.24
92,-7.79999
93,-1.8
94,-1.28
95,-2.08
96,-9.95999
97,-5.08
98,-1.4
99,-0.52
100,-3.44
101,-2.8
102,-3.36
103,-6.92
104,-6
105,-15.56
106,-2.04
107,-0.12
108,-6.76
109,-7.23999
110,-3.44
111,-5.68
112,-5.8
113,-4
114,-7.24
115,-6.68
116,-20.3601
117,-1.56
118,-8.99999
119,-1.76
120,-23.3602
121,-2.6
122,0.28
123,-6.64
124,-5.76
125,-6.44
126,-6.55999
127,-7.56
128,-36.2805
129,-4.44
130,-42.9206
131,-3.32
132,-52.5208
133,-5.48
134,-10.36
135,-12.08
136,-23.3201
137,-34.5604
138,-0.28
139,-0.759999
140,-12.88
141,-3.76
142,-12.12
143,-48.6008
144,-11.4
145,-5
146,-2.28
147,-4.96
148,-6.36
149,-15.6
150,-4.32
151,-2.52
152,-40.5206
153,-2.04
154,-6.32
155,-12.72
156,-9.99999
157,-6.71999
158,-7.19999
159,-4.12
