episode,reward_obtained
0,-2.4
1,-3.04
2,-2.36
3,-10.12
4,-1.44
5,-5.88
6,-1.48
7,-18.2
8,-11.84
9,-1.32
10,-2.2
11,-42.6806
12,-2.48
13,-11.28
14,-3.68
15,-11.56
16,-38.8805
17,-35.2004
18,-1.28
19,-27.3602
20,-1.92
21,-1.76
22,-13.56
23,-22.8801
24,-20.2401
25,-3.92
26,-6.36
27,-13.44
28,-2.2
29,-15.84
30,-34.5204
31,-14.4
32,-2.56
33,-2.6
34,-1.64
35,-6.15999
36,-1.52
37,-2.2
38,-14.28
39,-45.0406
40,-11.44
41,-17.36
42,-34.8004
43,-8.2
44,-4.36
45,-3.56
46,-2.92
47,-5.72
48,-1.64
49,-4.84
50,-10.8
51,-23.8802
52,0.2
53,-2.32
54,-12.88
55,-64.3611
56,-2.24
57,-1.72
58,-1.6
59,-10.76
60,-35.5204
61,-13.36
62,-3.24
63,-13.4
64,-15.2
65,-2.16
66,-2.32
67,-7.99999
68,-5.76
69,-1.44
70,-1.76
71,-7.04
72,-1.2
73,-2.32
74,-6.04
75,-1.48
76,-11.52
77,-9.67999
78,-2
79,-1.08
80,-1.92
81,-1.32
82,-0.48
83,-12.92
84,-1.68
85,-4.36
86,-0.679999
87,-18.92
88,-5.12
89,-13.16
90,-3.36
91,-4.92
92,-7.2
93,-4.24
94,-21.2801
95,-3.2
96,-2.12
97,-19.16
98,-4.24
99,-12.2
100,-2
101,-14.36
102,-3.04
103,-29.0803
104,-2
105,-3.24
106,-1.84
107,-7.6
108,-7.68
109,-8.2
110,-2.48
111,-6.04
112,-12.2
113,-4.16
114,-2.08
115,-2
116,-13.72
117,-3
118,-20.1201
119,-4.88
120,-1.56
121,-10.48
122,-2.52
123,-13.84
124,-3.8
125,-19.28
126,-4.84
127,-6.6
128,-49.2407
129,-2.44
130,-2.84
131,-3.92
132,-12.2
133,-3.32
134,-14.32
135,-38.7605
136,-3.44
137,-2.2
138,-34.2804
139,-4.28
140,-2.04
141,-21.6401
142,-1.96
143,-6.48
144,-1.72
145,-2.88
146,-20.0001
147,-3.04
148,-25.0402
149,-14.36
150,-2.36
151,-3.32
152,-6.12
153,-10.8
154,-8.47999
155,-15.76
156,-3.16
157,-1.76
158,-9.63999
159,-7.6
160,-2.36
161,-2.44
162,-21.2001
163,-3.04
164,-6.87999
165,-15.32
166,-4.96
167,-12.56
168,-2.24
169,-11.32
170,-10.64
171,-4.44
172,-3.12
173,-8.51999
174,-5.04
175,-26.7602
176,-1.92
177,-19.28
178,-12.68
179,-13.6
180,-6.84
181,-3.44
182,-2.96
183,-2.96
184,-12.72
185,-7.08
186,-3.96
187,-7.24
188,-2.4
189,-7.43999
190,-31.7603
191,-5.32
192,-2
193,-8.39999
194,-10.16
195,-26.9602
196,-35.2804
197,-1.6
198,-3.32
199,-10.08
200,-1.76
201,0.48
202,-4.68
203,-11.2
204,-11.2
205,-1.68
206,-3.24
207,-3.16
208,-7.04
209,-4.24
210,-4
211,-13
212,-4.48
213,-1.24
214,-1.6
215,-5.64
216,-24.5602
217,-15.08
218,-2.2
219,-5.72
220,-1.2
221,-0.32
222,-5.28
223,-12.6
224,-6.04
225,-7.87999
226,-1.8
227,-13.24
228,-5.16
229,-2.24
230,-3.32
231,-3.68
232,-28.7603
233,-13.6
234,-19
235,-1.6
236,-24.1201
237,-3.88
238,-10.68
239,-26.1602
240,-1.96
241,-6.68
242,-2.4
243,-3.16
244,-2
245,-8.43999
246,-9.59999
247,-4.48
248,-29.0003
249,-5.6
250,-1.84
251,-2.4
252,-1.44
253,-12.6
254,-24.2002
255,-4.72
256,-7.12
257,-6.44
258,-2.2
259,-1.48
260,-3
261,-1.72
262,-4.16
263,-1.4
264,-5.52
265,-4.92
266,-2.84
267,-10.76
268,-9.71999
269,-2.48
270,-4.12
271,-1.4
272,-2.92
273,-1.28
274,-9.63999
275,-15.08
276,-1.32
277,-5.72
278,-4.72
279,-1.4
280,-1.52
281,-1.92
282,-4.16
283,-3.8
284,-3.56
285,-14.28
286,-1.64
287,-2.92
288,-5.68
289,-2
290,-1.44
291,-2.28
292,-4.6
293,-3.92
294,-3
295,-2
296,-5.56
297,-1.44
298,-3.76
299,-1.8
300,-6.28
301,-3.56
302,-15.68
303,-2.28
304,-1.48
305,-1.72
306,-3.48
307,-1.44
308,-2.8
309,-3.32
310,-3.04
311,-1.68
312,-10.36
313,-3.08
314,-18.36
315,-5.32
316,-5.96
317,-17.4
318,-22.0001
319,-1.44
320,-47.5607
321,-10.24
322,-5.88
323,-4.44
324,-3.88
325,-5.72
326,-10.44
327,-3.24
328,-1.56
329,-8.12
330,-2.92
331,-5.08
332,-2.8
333,-2.16
334,-2
335,0.56
336,-9.07999
337,-4.92
338,-3.08
339,-9.71999
340,-1.48
341,-1.48
342,-4.76
343,-1.8
344,-1.44
345,-2.92
346,-2.36
347,0.4
348,-15.76
349,-2.56
350,-8.55999
351,-2.44
352,-4.68
353,-3.32
354,-4.72
355,-4.32
356,-3.76
357,-5.36
358,-2.88
359,-4.52
360,-1.24
361,-1.6
362,-6.16
363,-4.68
364,-0.16
365,-2.2
366,-2.44
367,-1.36
368,-2.28
369,-7.79999
370,-2.4
371,-2.4
372,-1.44
373,-1.92
374,-1.4
375,-20.9601
376,-2.2
377,-2.36
378,-3.8
379,-6.72
380,-7
381,-3.92
382,-1.88
383,-3.2
384,-1.2
385,-7.08
386,-8.91999
387,-3.24
388,-14.24
389,-3.72
390,-15.44
391,-2.96
392,-5.99999
393,-3.08
394,-2.08
395,-3.92
396,-2.24
397,-8.83999
398,-6.19999
399,-10.48
400,-6.44
401,-13.4
402,-1.92
403,-19.28
404,-3.6
405,-0.959999
406,-3.48
407,-26.9202
408,-10.12
409,-1.52
410,-5
411,-4.12
412,-8.27999
413,-33.5204
414,-2.84
415,-10.72
416,0.0799999
417,-3.24
418,-7.24
419,-2.84
420,-7.48
421,-3.2
422,-5.6
423,-12.56
424,-3.72
425,-7
426,-2.96
427,-4.92
428,-13.36
429,-8.75999
430,-11.44
431,-12.16
432,-3.64
433,-4.08
434,-3.16
435,-12.56
436,0.68
437,-2.4
438,0.16
439,-2.72
440,-4.12
441,-1.84
442,-2.08
443,-4.32
444,-3.52
445,-1.72
446,-8.31999
447,-4.92
448,-6.67999
449,-2.08
450,-7.24
451,-4.4
452,-9.15999
453,-4.8
454,-5.48
455,-1.24
456,-5.68
457,-8.2
458,-2.44
459,-5.52
460,0.24
461,-13.12
462,-7.72
463,-11.08
464,-1.84
465,-1.6
466,-2.6
467,-2.68
468,-7.12
469,-1.04
470,-4
471,-5.24
472,-2.44
473,-1.6
474,-6.07999
475,-2.64
476,-7.04
477,-3.6
478,-13
479,-15.44
480,-26.8002
481,-2.84
482,-8.79999
483,-6.32
484,-12.2
485,0.28
486,-4
487,-1.28
488,-1.6
489,-2.16
490,-1.68
491,-1.08
492,-19.72
493,-3.04
494,-12.84
495,-1.88
496,-1.52
497,-3.52
498,-3.24
499,-1.44
500,-6.95999
501,-1.44
502,-7.48
503,-7.83999
504,-2.24
505,-3.84
506,0.36
507,-1.96
508,-15.4
509,-1.64
510,-3.96
511,-4.92
512,-18.64
513,-2
514,-1.44
515,-6.6
516,-12.72
517,-1.96
518,-11.32
519,-4.12
520,-4.52
521,-0.839999
522,-3.68
523,-7.16
524,-12.72
525,-1.4
526,-2
527,-5.96
528,-3.44
529,-5.08
530,-5.44
531,-5.72
532,-1.76
533,-9.19999
534,-11.04
535,-7.47999
536,-1.04
537,-18.16
538,-3.92
539,-10.44
540,-10.88
541,-2.64
542,-2.08
543,-3.28
544,-3.04
545,-22.4401
546,-7.71999
547,-10.56
548,-2.16
549,-5.88
550,-16.72
551,-9.47999
552,-6.75999
553,-13.12
554,-1.72
555,-2.32
556,-7.2
557,-11.2
558,-4.16
559,-0.839999
560,-7.99999
561,-15.08
562,-7.99999
563,-6.31999
564,-0.919999
565,-6.8
566,-1.36
567,-3.84
568,-11.96
569,-5.96
570,-12.52
571,-2
572,-2.68
573,0.48
574,-4.08
575,-9.31999
576,-6.56
577,-3.72
578,-0.879999
579,-8.15999
580,-6.08
581,-5.52
582,-2.08
583,-4.12
584,0.16
585,-2.92
586,-22.6001
587,0.4
588,-4
589,-9.99999
590,-12.68
591,-4.88
592,0.2
593,-2.2
594,-3.28
595,-4.32
596,-1.72
597,-3.48
598,-6.24
599,-6.44
600,-6.91999
601,-2.56
602,-4.48
603,-5.04
604,-4.4
605,-8.43999
606,-6.76
607,-4.04
608,-6.56
609,-12.56
610,-16.88
611,-2.28
612,-6.8
613,-5.24
614,-11.04
615,-1.12
616,-5.91999
617,-10.8
618,-0.4
619,-0.879999
620,-13.44
621,-14.2
622,-3.76
623,-9.11999
624,-10.4
625,-15.24
626,-2.88
627,-3.72
628,-5.12
629,-4.16
630,-9.83999
631,-4.08
632,-5.36
633,-2.92
634,-4.32
635,-3.36
636,-2.84
637,-9.71999
638,-5.8
639,-0.52
640,-9.03999
641,-3.64
642,-2.24
643,-5.2
644,-3.04
645,-1.76
646,-4.36
647,-0.16
648,-9.99999
649,-10.16
650,-7.04
651,-8.63999
652,-2.2
653,-1.64
654,-6.8
655,-9.35999
656,-3.08
657,-2.68
658,-4.6
659,-7.71999
660,-9.95999
661,-2.4
662,-9.23999
663,-2.04
664,-2.28
665,-5.4
666,-5.4
667,-2.28
668,-12.08
669,-13.64
670,-2.32
671,-2.64
672,-2.32
673,-5.96
674,-8.39999
675,-8.15999
676,0.12
677,-2.84
678,-11.36
679,-1.76
680,-2.12
681,-4.96
682,-1.64
683,-8.15999
684,-3.36
685,-2.24
686,-6.44
687,-15.4
688,-1.4
689,-21.1601
690,-3.6
691,-9.23999
692,-4.8
693,-6.16
694,-0.32
695,-7.11999
696,-9.03999
697,-5.12
698,-10.76
699,-4
700,-4.2
701,-3.68
702,-7.68
703,-3.88
704,-6
705,-2.92
706,-11.28
707,-5.68
708,-10.28
709,-2.28
710,-1.28
711,-0.6
712,-14.52
713,-7.19999
714,-8.43999
715,-5.36
716,-2.68
717,-2.76
718,-4.08
719,-3.32
720,-8.39999
721,0.44
722,-1.92
723,-9.87999
724,-1.4
725,-1.36
726,-0.64
727,-2.28
728,-6.51999
729,-13.32
730,-1.84
731,-4.96
732,-0.799999
733,-15.12
734,-6.04
735,-2.32
736,-3.48
737,-1.2
738,-2.52
739,-13.8
740,-9.67999
741,-1.96
742,-3.72
743,-7.83999
744,-2.76
745,-5.64
746,-6.84
747,-0.52
748,-4.76
749,-11.16
750,-3.4
751,-2.44
752,-0.839999
753,-3.44
754,-8.35999
755,-9.11999
756,-1.44
757,-20.1601
758,-7.52
759,-5.44
760,-5.84
761,-5.04
762,-4.8
763,-0.16
764,-3.16
765,-3.16
766,-4.32
767,-2.72
768,-5.64
769,-2.64
770,-11.84
771,-1.8
772,-2.04
773,-1.12
774,-10.4
775,-1.36
776,-2.16
777,-4.28
778,-1.28
779,-3.8
780,-7.35999
781,-9.39999
782,-8.47999
783,-7.24
784,-12.8
785,-6.92
786,-1.36
787,-4.88
788,-5.32
789,-2.76
790,-1.6
791,0.12
792,-2.32
793,-4.24
794,-2.96
795,-2.32
796,-1.19209e-07
797,-1.88
798,-1.72
799,-21.6401
800,-12.08
801,-0.32
802,-3.52
803,-10.92
804,-7.39999
805,-4.72
806,-11.4
807,-3.68
808,-1.32
809,-2.12
810,-5.24
811,-1.32
812,-2.24
813,-3.92
814,-0.16
815,-6.2
816,-24.4802
817,0.52
818,-32.2004
819,-6.2
820,-6.16
821,-4.48
822,-11.36
823,-4.8
824,-2.96
825,-10.68
826,-16.52
827,-3.72
828,-2.64
829,-7.04
830,-6.56
831,-4.36
832,0.12
833,-4.48
834,-6.75999
835,-7.48
836,-5
837,0.24
838,-5.08
839,-7.43999
840,-2
841,-15.2
842,-3.36
843,-3.96
844,-2.16
845,-19.04
846,-5.2
847,-19.12
848,-5.79999
849,-2.48
850,-13.2
851,-5.48
852,-14.44
853,-8.47999
854,-2.76
855,-16.56
856,-3.28
857,-0.52
858,-9.51999
859,-5.91999
860,-7.56
861,-1.2
862,-4.12
863,-6.11999
864,-2.12
865,-8.12
866,-14.76
867,-0.2
868,-1.28
869,-4.72
870,-0.44
871,-8.07999
872,-4.28
873,-9.07999
874,-3.84
875,-1.88
876,-7.99999
877,-12.04
878,-1.12
879,-6.96
880,-5.83999
881,-3.92
882,-6.8
883,-3.92
884,-1.28
885,-12.76
886,-4.44
887,-3.64
888,-3.44
889,-2.2
890,-1.72
891,-2.36
892,-3.24
893,-1.19209e-07
894,-8.31999
895,-2.24
896,-0.759999
897,-2.6
898,-1.28
899,-2.12
900,-3.68
901,0.52
902,-2.4
903,-3.92
904,-8.75999
905,-2.2
906,-9.63999
907,-0.959999
908,-4.8
909,-1.8
910,-0.2
911,-3.36
912,-3.36
913,-5.48
914,-0.12
915,-9.55999
916,-0.32
917,-0.679999
918,-0.799999
919,-4.12
920,-3.48
921,-2.08
922,-7.87999
923,-1.8
924,-8.31999
925,-0.24
926,-4.16
927,-1.92
928,-0.719999
929,-8.15999
930,-3.28
931,-4
932,-4.16
933,-2
934,-13.64
935,-5.88
936,-1.24
937,-1.56
938,-2.36
939,-3.2
940,-5.16
941,-0.2
942,-4
943,-0.64
944,-0.08
945,-1.24
946,-10.08
947,-3.8
948,-1.56
949,-1.56
950,-1.52
951,-4.96
952,-2.6
953,-1.04
954,-5.44
955,-4.32
956,-0.4
957,-2.72
958,-2
959,-4.68
960,-1.4
961,-12.12
962,-2.56
963,-5.08
964,-5.12
965,-1.04
966,-7.68
967,0.4
968,-1.96
969,-5.36
