episode,reward_obtained
0,-1.76
1,-5.28
2,-3.04
3,-19.8001
4,-4.72
5,-0.08
6,-3.28
7,-0.839999
8,-2.32
9,-11.84
10,-2.92
11,-4.92
12,-0.64
13,-3.04
14,-2.72
15,-1.2
16,-1.56
17,-0.879999
18,-11.16
19,-13.76
20,-6.8
21,-3.12
22,-3.56
23,-7.15999
24,-0.12
25,-11.56
26,-9.47999
27,-4.08
28,-6.07999
29,-1.48
30,-5.84
31,-5.12
32,0.0399998
33,-19.24
34,-1.6
35,-2.4
36,-8.15999
37,-8.23999
38,-0.28
39,-7.43999
40,0.52
41,-9.11999
42,0.28
43,-3.08
44,-9.87999
45,-13.8
46,-1.2
47,-1.24
48,-0.0400001
49,-1.52
50,-1.76
51,-0.56
52,-9.55999
53,-2.2
54,-1.28
55,-2.4
56,-5.8
57,-1.2
58,-2.56
59,-3.24
60,-3.04
61,-1.56
62,-4.68
63,-15.2
64,-5.8
65,-2.2
66,-6.63999
67,-0.719999
68,-1.4
69,-2.4
70,-1.84
71,-1.28
72,-6
73,-5.12
74,-6.6
75,-0.16
76,-1.04
77,-1.08
78,-3.72
79,-4.96
80,-2.2
81,-0.56
82,-1.8
83,0.2
84,-9.03999
85,-3.24
86,-2.36
87,-3.36
88,-2.64
89,-3.64
90,-3.6
91,-1.72
92,-5.68
93,-0.719999
94,-1.56
95,-7.08
96,-5.24
97,-1.84
98,-2.32
99,-7.75999
100,-4.04
101,-4.24
102,-7.28
103,0.12
104,-0.08
105,-1.76
106,-1.72
107,0.32
108,-4.12
109,-1.19209e-07
110,-4.4
111,-4.32
112,-4.92
113,-3.44
114,-1.92
115,-5.88
116,-2.68
117,-0.28
118,-3.2
119,0.0799999
120,-1.92
121,-0.24
122,-3.2
123,0.28
124,-2
125,-0.999999
126,0.68
127,-2.32
128,-6.52
129,-1.96
130,-5.44
131,-1.08
132,-1.6
133,-3.08
134,-5.72
135,-3.88
136,-0.24
137,-3.76
138,-1.8
139,-1.44
140,-1.88
141,-5.96
142,-18.8
143,-2.52
144,-2.24
145,-1.16
146,-3
147,-1.76
148,-3.28
149,0.72
150,0.24
151,-1.96
152,-3.48
153,-3.12
154,-1.4
155,-1.4
156,-1.2
157,-2.08
158,-0.52
159,-5.16
160,-2
161,-2.08
162,0.16
163,-0.839999
164,-2.88
165,-0.12
166,-0.719999
167,-2.04
168,-2
169,-2.76
170,-4.56
171,0.32
172,-1.64
173,-3.24
174,-1.52
175,-1.72
176,-0.719999
177,-0.48
178,-2.44
179,-2.92
180,-2.96
181,-1.6
182,-3
183,-1.72
184,-5.48
185,-4.4
186,-5
187,-2
188,-6.72
189,-3.6
190,-3.48
191,-1.88
192,-3.52
193,-1.52
194,-1.32
195,-4.64
196,-4.2
197,-2.12
198,-2.56
199,0.28
200,-4.52
201,-1.56
202,-2.2
203,-0.56
204,-0.0400001
205,0.16
206,-2.64
207,-3.92
208,-7.52
209,-0.6
210,-4.04
211,-0.36
212,-0.959999
213,-2.24
214,-4.08
215,-1.84
216,0.28
217,-2.24
218,-4.96
219,-5
220,-6.04
221,-3.76
222,-4.36
223,-2.16
224,-12.84
225,-3.84
226,-1.2
227,-3.8
228,-8.43999
229,-2.44
230,-0.56
231,-1.19209e-07
232,-8.27999
233,-1.4
234,-3.56
235,-0.679999
236,-2.16
237,-1.36
238,-0.08
239,-1.4
240,-1.2
241,-3.44
242,-0.24
243,-2.64
244,-0.959999
245,-1.2
246,-0.4
247,-5.95999
248,-1.84
249,-0.64
250,-6.11999
251,-3.52
252,-0.32
253,-0.56
254,-7.48
255,-1.72
256,-3.12
257,-2.92
258,-9.79999
259,-1.28
260,-2.8
261,-2.68
262,-5.04
263,-5.44
264,-5.16
265,-3.96
266,-2.44
267,0.0399998
268,-1.84
269,-2.72
270,-1.84
271,-2.04
272,-2.12
273,-1.52
274,-1.2
275,-1.36
276,-8.47999
277,-3.12
278,-4.84
279,-0.64
280,-1.19209e-07
281,0.6
282,-2.12
283,-3.4
284,-5.48
285,-1.28
286,-0.879999
287,0.56
288,-1.08
289,-2.08
290,-6.72
291,-4.32
292,-0.879999
293,-0.759999
294,-2.88
295,-2.72
296,-3.32
297,-4.36
298,-4.64
299,-5.12
300,-2
301,-0.44
302,-2.04
303,-1.76
304,-3.32
305,-1.76
306,-5.16
307,-2.12
308,-0.28
309,-2.48
310,-4.08
311,-3.52
312,-2.92
313,0.4
314,-3.28
315,-1.76
316,-4.92
317,-7.52
318,0.28
319,-0.799999
320,-1.96
321,-1.84
322,-4.8
323,-2.52
324,-2.84
325,-1.76
326,-2.76
327,-5.2
328,-5.4
329,0.0399998
330,-3.04
331,-1.88
332,-0.6
333,-4.48
334,-8.67999
335,-2.8
336,-3.92
337,0.56
338,0.44
339,-2.8
340,0.24
341,-2
342,0.52
343,-6.32
344,-2.52
345,-3.8
346,-0.2
347,-2
348,0.24
349,-1.36
350,-1.84
351,-2.56
352,-2.56
353,-1.52
354,-0.959999
355,-2.32
356,-5.84
357,-1.36
358,-4.08
359,-1.28
360,-2.24
361,-5.16
362,-3.36
363,-1.36
364,-2.6
365,-1.16
366,-5
367,-1.96
368,-0.64
369,-0.759999
370,0.24
371,0.48
372,-5.32
373,-2.16
374,-0.879999
375,-4.16
376,-7.56
377,-1.52
378,0.0799999
379,-2.72
380,0.52
381,-3.88
382,-4.48
383,-0.32
384,-1.64
385,-8.35999
386,-2.08
387,-4.28
388,-9.07999
389,-2.24
390,-0.44
391,-5.08
392,0.64
393,-1.96
394,-1.8
395,-0.759999
396,-2.4
397,-1.24
398,-0.36
399,-1.96
400,-2.88
401,-6.32
402,-6.11999
403,-2.6
404,-1.36
405,-2.32
406,-1.44
407,-2.16
408,-3.88
409,-4.32
410,-1.56
411,-1.92
412,-8.91999
413,-2.16
414,-0.879999
415,-1.96
416,-3.64
417,-2.8
418,-3.68
419,-2.16
420,-3.12
421,-2.8
422,-3.36
423,-1.16
424,-0.08
425,-1.96
426,-8.27999
427,-3.64
428,-2.4
429,-1.4
430,-2.32
431,-5.64
432,-4.92
433,-3.44
434,-1.48
435,-2.44
436,-3
437,0.32
438,-2.56
439,0.28
440,-3.04
441,-2.28
442,-4.48
443,-0.08
444,-6.96
445,-1.6
446,-2.24
447,-2.88
448,-2.76
449,-3.2
450,-1.56
451,-5.36
452,-3.56
453,-1.48
454,-3.32
455,-1.88
456,-3.88
457,-4.72
458,-0.879999
459,-4
460,-0.799999
461,-2.16
462,-1.24
463,-3.32
464,-1.92
465,-9.51999
466,-1.24
467,-4.2
468,-0.2
469,0.56
470,0.56
471,-0.959999
