episode,reward_obtained
0,-4.24
1,-126.643
2,-167.836
3,-30.3603
4,-65.8411
5,-5.76
6,-6.04
7,-8.55999
8,-15.52
9,-2.76
10,-19.08
11,-19.6001
12,-10.16
13,-5.6
14,-2.08
15,-5
16,-2.28
17,-18.36
18,-3.44
19,-1.4
20,-2.4
21,-2.28
22,-4.12
23,-6.16
24,-4.84
25,-3.68
26,-1.68
27,-5.72
28,-2.4
29,-2.56
30,-2.96
31,-10.4
32,-5.88
33,-3.56
34,-1.6
35,-2.08
36,-2.88
37,-1.44
38,-9.31999
39,-6.56
40,-3.04
41,-2.4
42,-5.36
43,-4.88
44,-3.44
45,-2.04
46,-1.92
47,-7.04
48,-12.96
49,-3
50,-4.76
51,-2.32
52,-9.67999
53,-11.16
54,-4.84
55,-3.36
56,-4.56
57,-1.52
58,-4.6
59,-5.04
60,-7
61,-2.16
62,-2.04
63,-2.52
64,-7.04
65,-3.52
66,-2.92
67,-5
68,-5.16
69,-8.55999
70,-2.72
71,-2.6
72,-6
73,-3.08
74,-3.2
75,-2.32
76,-7.4
77,-7.4
78,-8.31999
79,-6.64
80,-5.83999
81,-5.64
82,-8.27999
83,-4.48
84,-2.8
85,-4.04
86,-1.24
87,-0.56
88,-1.72
89,-3.12
90,-9.83999
91,-14.56
92,-4.52
93,-0.32
94,-4.12
95,-7.19999
96,-8.59999
97,-4.88
98,-0.799999
99,-1.44
100,-3.64
101,-5.36
102,-4.88
103,-3.84
104,-5.87999
105,-4.24
106,-10.32
107,-4.44
108,-1.44
109,-6.63999
110,-6.32
111,-1.16
112,-7.15999
113,-2.84
114,-4.92
115,-1.36
116,-4
117,-2.32
118,-2.04
119,-1.24
120,-6.47999
121,-4.08
122,-3.72
123,-4.56
124,-5.79999
125,-2.2
126,-2.68
127,-2.8
128,-4.68
129,-6.68
130,-1.36
131,-4.48
132,-3.16
133,-0.4
134,-2.48
135,-10.6
136,-4.44
137,-1.76
138,-1.2
139,-18.6001
140,-6.96
141,-8.03999
142,-4.76
143,-3.36
144,-4.56
145,-1.28
146,-5.68
147,-7.48
148,-3.36
149,-10.44
150,0.76
151,-3.96
152,-5.4
153,-15.92
154,-4
155,-2.64
156,-2.96
157,-2.48
158,-16.8
159,-10.44
160,-7.04
161,-1.44
162,-16.52
163,-4.6
164,-4.92
165,-36.7604
166,-61.241
167,-80.1615
168,-1.16
169,-12.28
170,-18.68
171,-3.52
172,-14.64
173,-24.2002
174,-11.72
175,-6.67999
176,-14.12
177,-9.83999
178,-7.15999
179,-3.16
180,-2.52
181,-4.32
182,-4.76
183,0.68
184,-2
185,-5.08
186,-13.64
187,-6.36
188,-2.24
189,-8.2
190,-13.36
191,-14.04
192,-13.12
193,-2.96
194,-17.64
195,-16.4
196,-1.28
197,-13.36
198,-15.68
199,-3.4
200,-2.32
201,-16.8
202,-22.5601
203,-0.6
204,-1.88
205,-5.24
206,-9.43999
207,-8.47999
208,-1.44
209,-7.87999
210,-37.1204
211,-4.48
212,-4.2
213,-19.6801
214,-8.91999
215,-15.64
216,-3.28
217,-9.23999
218,-6
219,-12.96
220,-19.3201
221,-6.04
222,-12.36
223,-2.04
224,-3.2
225,-11.2
226,-8.91999
227,-3.24
228,-3.88
229,-19.5201
230,-19.0801
231,-24.3202
232,-21.6801
233,-9.03999
234,-2.56
235,-28.5203
236,-13.08
237,-9.11999
238,-0.959999
239,-34.0804
240,-10.28
241,-11.36
242,-16.32
243,-1.6
244,-17.44
245,-3.84
246,-14.08
247,-23.2802
248,-36.1205
249,-10.56
250,-13.44
251,-5.8
252,-10.84
253,-9.71999
254,-10.88
255,-11.4
256,-6.95999
257,-28.8003
258,-18.4001
259,-16.8
260,-19.28
261,-1.48
262,-0.48
263,-23.7602
264,-8.07999
265,-4.48
266,-4.72
267,-10.4
268,0.2
269,-10.64
270,-27.2402
271,-25.9602
272,-5.95999
273,-17.96
274,-8.11999
275,-25.4402
276,-3.08
277,-10.96
278,-12.36
279,-2.16
280,-3.2
281,-18.2
282,0.6
283,-3
284,-3.28
285,-16
286,-9.59999
287,-6.24
288,-24.9202
289,-8.11999
290,-14.92
291,-9.31999
292,-6.75999
293,-13.84
294,-3.48
295,-15.24
296,-9.75999
297,-6.71999
298,-26.0002
299,0.72
300,-7.11999
301,-33.6004
302,-5.91999
303,-9.55999
304,-5.36
305,-13.52
306,-1.84
307,-20.7201
308,-4.08
309,-4.4
310,-10.6
311,-7.44
312,-8.07999
313,-7.79999
314,-22.3202
315,-1.72
316,-1.36
317,-21.6401
318,-1.72
319,-13.08
320,-7.99999
321,-10.88
322,-26.7203
323,-8.12
324,-10.68
325,-10.08
326,-8.51999
327,-10.84
328,-11.12
329,-2.88
330,-7.87999
331,-4.4
332,-9.43999
333,-6.11999
334,-12.04
335,-13.16
336,-10.08
337,-16.24
338,-11.52
339,-17.9201
340,-18.28
341,-4.84
342,-2.4
343,-11.2
344,-3.44
345,-11.36
346,-9.59999
347,-11
348,-0.56
349,-2.16
350,-12.12
351,-8.87999
352,-3.84
353,-12.08
354,-11.32
355,-10.32
356,-22.0401
357,-1.48
358,-24.6402
359,-11.56
360,-5.12
361,-8.75999
362,-13.28
363,-10.44
364,-8.27999
365,-15.2
366,-8.59999
367,-12.44
368,-0.12
369,-5.2
370,-16.28
371,-10.2
