episode,reward_obtained
0,-1.48
1,-1.8
2,-1.44
3,-4.04
4,-2.08
5,-1.4
6,-2.28
7,-2.56
8,-1.24
9,-2.32
10,-1.56
11,-1.44
12,-1.76
13,-1.6
14,-3.12
15,-1.36
16,-1.4
17,-2.76
18,-1.44
19,-1.24
20,-1.44
21,-1.56
22,-1.88
23,-2.24
24,-1.52
25,-2.16
26,-1.88
27,-1.72
28,-2.56
29,-1.48
30,-1.16
31,-3.68
32,-1.44
33,-1.64
34,-1.68
35,-1.4
36,-1.48
37,-5
38,-2.28
39,-1.28
40,-1.52
41,-1.64
42,-1.48
43,-1.12
44,-1.36
45,-1.64
46,-2.12
47,-1.56
48,-3
49,-3.36
50,-1.92
51,-1.8
52,-1.72
53,-1.44
54,-2.76
55,-1.24
56,-1.84
57,-1.72
58,-1.48
59,-1.2
60,-2.36
61,-1.24
62,-1.48
63,-1.2
64,-1.64
65,-1.84
66,-1.32
67,-1.4
68,-3.36
69,-3.08
70,-2.52
71,-1.6
72,-2.2
73,-2.04
74,-1.4
75,-2
76,-1.48
77,-2.32
78,-2.68
79,-3.32
80,-1.32
81,-1.84
82,-1.32
83,-1.44
84,-1.2
85,-1.4
86,-1.96
87,-1.64
88,-2.2
89,-1.28
90,-1.28
91,-1.32
92,-2.32
93,-3.52
94,-2.52
95,-3.24
96,-3.68
97,-2.48
98,-2.32
99,-1.44
100,-3.76
101,-1.36
102,-2.96
103,-2.44
104,-2.36
105,-1.4
106,-2.6
107,-5.84
108,-20.9601
109,-7.4
110,-32.2004
111,-13.76
112,-31.5604
113,-28.4403
114,-26.1602
115,-1.48
116,-20.0401
117,-11.12
118,-7.11999
119,-12.44
120,-5.79999
121,-2.44
122,0.0799999
123,-1.32
124,-9.39999
125,-1.8
126,-3.68
127,-0.6
128,-7.24
129,-1.8
130,0.28
131,-3.76
132,-0.08
133,-15.08
134,-4.44
135,-2.2
136,-2.64
137,-1.36
138,-3.44
139,0.24
140,-1.19209e-07
141,0.32
142,-1.04
143,-2.4
144,-0.0400001
145,-3.16
146,-1.72
147,-4.64
148,-3.24
149,-1.2
150,-0.959999
151,-2.36
152,-2.16
153,-1.8
154,-0.44
155,0.56
156,-2.72
157,-1.44
158,0.44
159,-0.839999
160,-0.879999
161,-1.48
162,-1.68
163,-2.72
164,0.44
165,0.32
166,-0.52
167,-2.2
168,-2.32
169,-1.56
170,-2.88
171,0.12
172,-3.32
173,-2.16
174,-1.96
175,-1.84
176,-5.24
177,-0.839999
178,-0.24
179,-4.4
180,-1.44
181,-1.19209e-07
182,-1.2
183,0.76
184,-7.15999
185,0.6
186,-0.719999
187,-6.12
188,-9.19999
189,-6.11999
190,-3.24
191,-7.12
192,-1.52
193,-6.23999
194,-4.4
195,-9.99999
196,-10.04
197,-1.12
198,0.16
199,-2.36
200,-9.31999
201,-2.32
202,0.48
203,-15.68
204,-7.87999
205,-0.48
206,-4.48
207,-3
208,0.0799999
209,-3.32
210,-7.68
211,-1.4
212,0.56
213,-1.32
214,-5.32
215,-11.96
216,-6.48
217,-4.6
218,-2.4
219,-0.56
220,-2.48
221,-1.92
222,-6.83999
223,0.36
224,-0.959999
225,-12.32
226,-3.6
227,-8.55999
228,-1.16
229,-9.63999
230,-8.87999
231,-5
232,-6.04
233,-4.92
234,-9.07999
235,-10.44
236,-0.24
237,-4.52
238,-1.88
239,-15.64
240,-6.07999
241,0.0799999
242,-1.64
243,-2.96
244,-1.52
245,-3.64
246,-3.84
247,0.28
248,-1.19209e-07
249,-5.16
250,-1.88
251,-5.84
252,-9.43999
253,-2.64
254,-2.24
255,-1.36
256,-8.27999
257,0.0399998
258,-5.72
259,-10.2
260,0.4
261,-1.36
262,-3.84
263,-1.24
264,0.52
265,-0.999999
266,-0.759999
267,-2.6
268,-2.36
269,-1.64
270,-0.24
271,-3.72
272,-2.28
273,-3
274,-12.08
275,-15.4
276,-1.72
277,0.0799999
278,-1.72
279,-6.24
280,-6.43999
281,-7.52
282,-2.24
283,-4.64
284,-8.87999
285,-1.16
286,-6.04
287,-6.52
288,-10.68
289,-1.2
290,-1.2
291,-5.76
292,-16.12
293,-16.92
294,-1.24
295,-0.2
296,-14.56
297,-2.12
298,-6.44
299,-1.56
300,-3.6
301,-16.56
302,-0.56
303,-3.88
304,-0.679999
305,-7.43999
306,-2.4
307,-1.76
308,-6.83999
309,-5.44
310,-7.24
311,-5.48
312,-20.4401
313,-6.16
314,-12.44
315,-4.48
316,-1.56
317,-1.52
318,-2.44
319,-19.08
320,-8.87999
321,-4.08
322,-1.52
323,-1.12
324,-1.16
325,-1.72
326,-1.36
327,-3.6
328,-2.6
329,-1.2
330,-4.12
331,-0.679999
332,-1.36
333,-1.12
334,-2.6
335,-1.12
336,-1.4
337,-1.32
338,-1.56
339,0.44
340,-2.16
341,0.0799999
342,-0.12
343,0.28
344,-1.44
345,0.4
346,-1.36
347,-2.08
348,-3.32
349,-3.88
350,-0.56
351,0.16
352,-1.32
353,0.48
354,-2.24
355,-1.04
356,-2.28
357,-2.92
358,-3.04
359,-1.28
360,-0.0400001
361,-1.2
362,0.0399998
363,-5.68
364,0.56
365,-1.12
366,-1.8
367,-0.679999
368,-1.12
369,-0.16
370,0.64
371,-1.4
372,-7.63999
373,-0.919999
374,-2.76
375,-1.12
376,-5.24
377,-1.32
378,-1.52
379,0.32
380,-2.48
381,-1.88
382,-3.92
383,0.36
384,-1.24
385,-1.12
386,-1.28
387,-1.84
388,-3.52
389,0.28
390,0.6
391,-0.08
392,-0.28
393,-2.68
394,-1.56
395,-1.8
396,-1.44
397,-1.44
398,-3.08
399,0.72
400,-0.679999
401,-1.16
402,-0.919999
403,-1.12
404,-1.92
405,-0.36
406,-1.92
407,-1.44
408,-2.92
409,-1.6
410,-4.16
411,-1.16
412,-1.12
413,-1.76
414,0.56
415,-1.28
416,-1.92
417,0.0799999
418,-3.48
419,-1.48
420,0.68
421,-1.6
422,-1.16
423,-2.28
424,-1.8
425,-0.799999
426,-1.92
427,-0.799999
428,-5.76
429,-1.76
430,-1.16
431,-4.24
432,-0.36
433,-3.84
434,0.56
435,-1.48
436,-1.4
437,-1.96
438,-2.08
439,-1.2
440,-4.36
441,-0.08
442,-0.32
443,-1.16
444,-1.36
445,-2.76
446,-3.8
447,0.32
448,0.48
449,-1.19209e-07
450,-1.28
451,0.48
452,-1.56
453,-1.56
454,-2.64
455,-5.99999
456,-3.12
457,-0.799999
458,-2.44
459,-1.92
460,-6.76
461,-11.2
462,-5.08
463,-1.96
464,-4.8
465,-3.04
466,-3.36
467,-5.56
468,-2.16
469,-3.12
470,-3.76
471,-1.24
472,-0.56
473,-1.36
474,-3.56
475,-3.2
476,-4.96
477,-4.96
478,-7.47999
479,-2.04
480,-9.19999
481,-0.719999
482,-7.83999
483,-10.6
484,-1.64
485,-1.36
486,-0.6
487,-0.679999
488,-0.28
489,-3.44
490,-12.8
491,-2.36
492,-1.68
493,-1.92
494,0.28
495,-1.68
496,-3.8
497,-6.8
498,-2.64
499,-1.64
500,-5.04
501,-3.16
502,-0.52
503,-2.44
504,-7.56
505,-3.52
506,-2.6
507,-1.8
508,-6.4
509,-4.16
510,-8.99999
511,-6.31999
512,-4.28
513,-0.48
514,-0.839999
515,-2.96
516,-6.52
517,-13.92
518,-4.8
519,0.0399998
520,-1.84
521,-3.28
522,-18.6
523,-0.52
524,-5.88
525,-0.4
526,-0.6
527,-7.2
528,-14.48
529,-1.92
530,-0.32
531,-4.08
532,-4.6
533,-8.51999
534,-1.48
535,-0.679999
536,-3.36
537,0.2
538,0.76
539,-0.2
540,-1.32
541,-6.19999
542,-1.32
543,-3.52
544,-4.8
545,-1.24
546,-1.88
547,0.64
548,-13.64
549,-1.4
550,-3.84
551,-0.959999
552,-3.6
553,-1.52
554,-2.44
555,0.28
556,-3.96
557,0.12
558,-4
559,-3
560,-2.08
561,0.36
562,-2.72
563,-3.56
564,-10.04
565,-9.27999
566,-18.04
567,-1.56
568,-7.64
569,-4.24
570,-3.28
571,-3.56
572,-2.88
573,-16.32
574,-1.16
575,-9.03999
576,-2.68
577,-2.48
578,-3.72
579,-20.0401
580,-9.55999
581,-2.04
582,-3.76
583,-0.2
584,-1.56
585,-2.28
586,-5.12
587,-5.52
588,-3.84
589,-7.51999
590,-3.32
